root,XIAO MI 4,1799,2,71960,2016-08-26 00:12:36,
root,XIAO MI 5,1999,40,79960,2016-08-26 00:14:19,
root,XIAO MI 3,1299,9999,12988701,2016-08-26 00:24:23,
root,XIAO MI 3,1299,4,5196,2016-08-26 00:27:46,
root,XIAO MI 3,1299,3,3897,2016-08-26 00:29:53,
root,XIAO MI 3,1299,1,1299,2016-08-26 00:31:08,
root,IPhone6S 16G,5888,5,29440,2016-08-26 01:14:02,
root,XIAO MI 4,1799,2,3598,2016-08-26 01:33:21,
root,XIAO MI 3,1299,2,2598,2016-08-26 01:33:24,
root,XIAO MI 5,1999,2,3998,2016-08-26 01:33:26,
root,XIAO MI 3,1299,22,28578,2016-08-26 01:37:13,
root,XIAO MI 3,1299,22,28578,2016-08-26 01:37:15,
root,XIAO MI 4,1799,3,5397,2016-08-26 01:40:16,
root,XIAO MI 4,1799,3,5397,2016-08-26 01:40:18,
root,IPhone6 64G,5888,4,23552,2016-08-26 01:40:19,
root,XIAO MI 5,1999,2,3998,2016-08-26 01:40:21,
root,IPhone6 64G,5888,6,35328,2016-08-26 01:40:23,
root,XIAO MI 5,1999,4,7996,2016-08-26 01:40:25,
root,IPhone6S 64G,6888,6,41328,2016-08-26 01:40:27,
